row,col,lat,lon,mf_score
356,572,32.85460175436669,-103.80434844380017,0.2594008130196021
356,573,32.85453813571315,-103.80397655939332,0.21773202726742902
356,574,32.85447451255242,-103.80360469961956,0.2491820563136722
356,575,32.8544108849059,-103.8032328645558,0.04110949020182741
356,576,32.85434725279508,-103.80286105427962,0.33410783493043905
356,577,32.854283616241595,-103.80248926886922,0.2898498190662684
356,578,32.85421997526722,-103.80211750840343,0.22915913239578561
357,572,32.854242565221334,-103.8044369704701,0.2357747007442969
357,573,32.85417888727848,-103.80406260088903,0.3615554245854801
357,574,32.85411530392007,-103.80369269719682,0.3311286489824936
357,575,32.85405169694332,-103.80332196457472,0.15919487731499793
357,576,32.85398802238369,-103.80294841538395,0.2589612490754357
357,577,32.853924360986326,-103.80257567965398,0.26692714291524533
357,578,32.8538607626044,-103.80220601678717,0.21217785203929304
358,575,32.8536996253917,-103.80341248010387,0.17891287010249593
358,576,32.85363598539991,-103.80304067508898,0.2162193183298304
358,577,32.8535723409662,-103.80266889493969,0.30492508694284615
371,570,32.849441533114295,-103.80646979815326,0.18064975345236475
371,571,32.84937778736933,-103.80609484796891,0.44965915012630114
371,572,32.84931411171814,-103.80572297771242,0.03481369227052106
372,570,32.849089472492246,-103.80656030230234,0.3237045625773356
372,571,32.84902579717726,-103.80618840963494,0.6933069667824159
372,572,32.84896209558633,-103.80581565400068,0.4041590890462484
372,573,32.84889836644351,-103.80544197797927,0.07630115056594536
373,569,32.84880116145854,-103.80702577702124,0.239218724459384
373,570,32.84873748649973,-103.80665386201666,0.279312752513865
373,571,32.84867373161901,-103.80627891707594,0.7681394755916895
373,572,32.84861004770029,-103.805907051875,0.8360196884714107
373,573,32.84854635925974,-103.80553521123007,0.29121795501333625
374,570,32.84838542456186,-103.8067443666827,0.07592667970681051
374,571,32.84832174097809,-103.80637247906832,0.2215427726804023
374,572,32.84825800092857,-103.80599852010181,0.24549085159039477
394,548,32.842739224502814,-103.81675528785925,0.352947181175969
394,549,32.84267556416417,-103.81638293197406,0.41579076830970907
401,150,32.865089241140666,-103.96736670284544,0.26253222621670125
402,104,32.86753966906628,-103.98499314273602,0.7205454802537443
402,105,32.867478707536925,-103.98461047075192,0.746622250782084
403,105,32.86711990986492,-103.98469190801336,0.12636554822940124
413,144,32.861203052624404,-103.9706932881736,0.4664239900536543
414,589,32.83297263627401,-103.80319354041465,0.5030211568163756
414,590,32.83290871764639,-103.80282224886032,0.40259619919720724
415,589,32.83261890283912,-103.80328886201023,0.2071862082845028
415,590,32.83255488932982,-103.80291453984336,0.2544457640046488
423,255,32.850859651126875,-103.92942038935763,0.06085333805505996
423,256,32.85079768446504,-103.92904216080493,0.04554052121668873
424,254,32.85057193213379,-103.92988369021083,0.032949026077978956
424,255,32.850509967821665,-103.92950544417631,0.7763932242390564
424,256,32.85044799709696,-103.9291272195703,1.0082273872468508
424,257,32.85038611561155,-103.92875125445276,0.1471968010467361
425,254,32.85022227295462,-103.92996924797606,0.8439172732973597
425,255,32.85016028284171,-103.92959049995132,0.4223932036197232
425,256,32.850098308053916,-103.9292122792906,1.0274006703095035
425,257,32.85003645573624,-103.92883708621225,0.42746578512013966
426,254,32.849872712694804,-103.93005713757287,0.7248646980751821
426,255,32.84981066269944,-103.92967710100814,0.7425548260967366
426,256,32.84974876112049,-103.92930068084088,1.0622090600807836
